sub_ID,Q6_consent,Q8_covid_info,Q9_covid_knowledge,Q10_rank_attention_to_news,Q13_1_trust_doctor_news,Q13_trust_hospital_news,Q13_trust_cdc_news,Q13_trust_government_news,Q14_confidence_us_government,Q16_Belief_scientists_understand_covid,Q17_concerned_outbreak,Q18_likely_to_catch_covid,Q20_ability_to_protect_self,Q21_expected_symptom_severity,Q101_confidence_in_authority,Q23_risk_exaggerated,Q27_wearing_mask,Q35_take_vaccine_,Q40_age,Q40_age_bin,Q41_gender,Q74_education,Q84_community,Q43_health_1_5_,Q39_flu_vaccine,Q44_contact_covid,Q85_pre_exisiting_conditions,Q92_friends_family_preexisiting_conditions
57,1,A lot, A moderate amount,8,FALSE,FALSE,TRUE,NA,2,8, A moderate amount,80,61,3,70,strongly disagree,no one/no mask evidence,probably,35,35-39,m,doctorate,small city/town,3,FALSE,no,no,yes
58,1,A lot,A lot,8,FALSE,FALSE,FALSE,FALSE,4,7, A moderate amount,65,90,3,84,somewhat disagree,sick people,probably,53,50-54,f,doctorate,small city/town,5,FALSE,unsure,no,no
59,1,A lot, A moderate amount,7,FALSE,FALSE,TRUE,FALSE,3,8,A little,30,80,3,70,somewhat disagree,sick people,probably,47,45-49,f,doctorate,suburb,4,TRUE,unsure,no,unsure
62,1,A lot,A lot,9,FALSE,FALSE,FALSE,FALSE,4,6,Not at all,30,58,3,38,somewhat disagree,sick people,definitely,31,30-34,m,doctorate,small city/town,4,TRUE,no,no,unsure
63,1,A lot, A moderate amount,7,FALSE,FALSE,TRUE,FALSE,1,7, A moderate amount,5,66,2,78,strongly agree,sick people,defintely not,60,60-64,f,highschool graduate,large city,4,FALSE,no,no,no
64,1,A lot,A lot,8,FALSE,FALSE,FALSE,FALSE,2,8,A little,20,79,2,49,somewhat disagree,sick people,probably,41,40-44,f,professional degree,large city,3,FALSE,no,no,no
65,1, A moderate amount, A moderate amount,7,FALSE,FALSE,TRUE,FALSE,5,6, A moderate amount,40,50,2,30,somewhat disagree,sick people,probably_not,51,50-54,f, 4 year degree,large city,4,FALSE,no,no,no
66,1,A lot,A little,9,FALSE,FALSE,TRUE,FALSE,2,9, A moderate amount,30,80,3,35,strongly disagree,sick people,probably,49,45-49,m,doctorate,suburb,3,TRUE,no,no,no
69,1,A lot,A little,10,FALSE,FALSE,TRUE,FALSE,2,2,A little,50,49,2,48,somewhat disagree,sick people,unsure,44,40-44,f,highschool graduate,suburb,3,TRUE,yes,no,yes
70,1,A little,A little,2,TRUE,TRUE,TRUE,TRUE,4,2, A moderate amount,14,18,3,26,strongly agree,everyone,definitely,18,18-19,f,2 year degree,small city/town,4,FALSE,no,unsure,unsure
71,1, A moderate amount, A moderate amount,8,TRUE,FALSE,TRUE,FALSE,0,7,A little,85,70,3,10,somewhat disagree,sick people,probably_not,43,40-44,f,doctorate,suburb,2,FALSE,unsure,yes,yes
75,1,A lot, A moderate amount,3,FALSE,FALSE,TRUE,FALSE,7,6,A little,NA,70,2,65,strongly agree,sick people,definitely,66,65-69,m,2 year degree,small city/town,4,TRUE,no,unsure,no
76,1,A lot,A lot,6,FALSE,FALSE,TRUE,FALSE,6,7, A moderate amount,10,70,2,45,strongly agree,sick people,definitely,19,18-19,f,some college,small city/town,3,FALSE,no,no,yes
77,1, A moderate amount, A moderate amount,8,TRUE,FALSE,TRUE,FALSE,4,7, A moderate amount,19,80,3,50,strongly disagree,sick people,definitely,32,30-34,f,doctorate,large city,5,FALSE,no,no,yes
81,1, A moderate amount, A moderate amount,7,FALSE,FALSE,TRUE,TRUE,4,6,A little,60,75,4,40,somewhat disagree,everyone,probably,18,18-19,m,highschool graduate,small city/town,3,TRUE,no,yes,yes
89,1,A lot, A moderate amount,9,FALSE,FALSE,FALSE,FALSE,7,8,A lot,65,65,2,50,strongly disagree,sick people,definitely,39,35-39,m, 4 year degree,suburb,4,TRUE,no,no,yes
94,1,A lot, A moderate amount,7,FALSE,FALSE,FALSE,FALSE,1,6, A moderate amount,71,60,3,30,strongly disagree,sick people,definitely,37,35-39,f,doctorate,suburb,3,TRUE,no,unsure,unsure
95,1, A moderate amount, A moderate amount,7,FALSE,FALSE,FALSE,FALSE,4,6, A moderate amount,60,70,2,60,somewhat disagree,everyone,definitely,23,20-24,m,some college,suburb,4,FALSE,no,no,unsure
96,1,A lot,A lot,10,FALSE,FALSE,TRUE,FALSE,6,5, A moderate amount,52,40,3,80,strongly disagree,sick people,probably,26,25-29,m,some college,small city/town,3,FALSE,unsure,no,no
97,1,A little,A little,3,FALSE,FALSE,TRUE,FALSE,0,5, A moderate amount,78,31,4,0,strongly disagree,no one/no mask evidence,definitely,24,20-24,m,some college,suburb,3,FALSE,unsure,no,yes
98,1, A moderate amount, A moderate amount,5,FALSE,FALSE,TRUE,FALSE,3,5, A moderate amount,21,40,2,29,strongly agree,sick people,probably_not,24,20-24,f,some college,suburb,2,FALSE,unsure,no,no
101,1,A lot,A lot,10,FALSE,FALSE,FALSE,FALSE,2,3, A moderate amount,76,70,2,21,strongly disagree,everyone,probably,24,20-24,f, 4 year degree,small city/town,4,TRUE,no,no,yes
102,1,A lot,A lot,10,FALSE,FALSE,FALSE,FALSE,0,3,A little,5,60,3,1,strongly disagree,sick people,probably,33,30-34,m, 4 year degree,large city,4,FALSE,no,no,no
109,1, A moderate amount, A moderate amount,7,FALSE,FALSE,TRUE,FALSE,2,6,Not at all,51,73,1,50,strongly disagree,sick people,definitely,30,30-34,f,doctorate,large city,3,TRUE,no,no,yes
115,1,A lot, A moderate amount,7,FALSE,FALSE,TRUE,TRUE,4,6, A moderate amount,15,64,2,0,NA,sick people,definitely,19,18-19,f,some college,small city/town,3,FALSE,no,no,no
122,1,A lot,A lot,10,FALSE,FALSE,TRUE,FALSE,5,1,A little,50,100,2,9,somewhat disagree,sick people,unsure,27,25-29,f, 4 year degree,suburb,4,FALSE,no,no,yes
123,1,A lot,A little,5,FALSE,FALSE,TRUE,FALSE,5,8,A little,19,73,3,26,strongly agree,sick people,probably,22,20-24,f,some college,suburb,2,FALSE,no,unsure,no
129,1, A moderate amount,A little,7,FALSE,FALSE,TRUE,FALSE,6,5, A moderate amount,10,70,5,80,somewhat disagree,everyone,probably_not,29,25-29,f,some college,suburb,4,FALSE,no,no,no
130,1, A moderate amount, A moderate amount,7,FALSE,FALSE,TRUE,FALSE,1,5,A little,50,50,3,30,strongly disagree,sick people,probably,20,20-24,m, 4 year degree,suburb,4,FALSE,no,no,unsure
136,1, A moderate amount,A little,3,FALSE,FALSE,TRUE,FALSE,5,5,A lot,75,70,3,60,somewhat disagree,sick people,unsure,27,25-29,f,some college,rural area,2,FALSE,unsure,yes,no
137,1,A lot,A lot,8,TRUE,FALSE,FALSE,TRUE,5,10, A moderate amount,92,50,3,35,strongly disagree,sick people,definitely,20,20-24,f,some college,suburb,1,TRUE,no,yes,no
143,1,A lot,A lot,10,FALSE,TRUE,TRUE,FALSE,0,10,A lot,80,100,2,100,strongly agree,sick people,definitely,35,35-39,f,some college,large city,4,TRUE,yes,no,prefer not to say
145,1,A lot, A moderate amount,9,FALSE,FALSE,TRUE,FALSE,0,1,A lot,2,72,3,0,somewhat disagree,sick people,definitely,24,20-24,f,some college,suburb,3,FALSE,no,no,yes
146,1,A lot,A little,8,FALSE,FALSE,FALSE,FALSE,1,6,A little,40,72,2,26,strongly disagree,sick people,definitely,26,25-29,f,professional degree,small city/town,4,TRUE,no,no,yes
148,1,A lot, A moderate amount,7,TRUE,FALSE,TRUE,FALSE,8,8, A moderate amount,19,81,5,86,somewhat disagree,sick people,definitely,19,18-19,f,highschool graduate,suburb,2,TRUE,no,yes,no
154,1,A lot,A lot,10,FALSE,FALSE,FALSE,FALSE,2,6, A moderate amount,86,60,2,8,strongly disagree,sick people,definitely,43,40-44,f,doctorate,small city/town,4,TRUE,no,no,yes
155,1,A lot,A little,5,FALSE,FALSE,FALSE,FALSE,1,4, A moderate amount,50,30,2,40,strongly agree,sick people,probably_not,29,25-29,f, 4 year degree,suburb,2,FALSE,no,no,unsure
157,1,A lot, A moderate amount,10,FALSE,FALSE,TRUE,TRUE,8,5,A lot,57,50,3,12,strongly disagree,sick people,definitely,20,20-24,f, 4 year degree,suburb,3,TRUE,no,no,yes
158,1,A lot,A lot,10,FALSE,FALSE,FALSE,FALSE,1,7,A little,100,50,2,50,strongly disagree,sick people,definitely,35,35-39,m,doctorate,suburb,4,TRUE,yes,no,yes
160,1, A moderate amount, A moderate amount,9,FALSE,FALSE,TRUE,FALSE,8,5, A moderate amount,5,90,2,65,strongly agree,sick people,probably,23,20-24,m,highschool graduate,small city/town,4,FALSE,unsure,no,yes
163,1, A moderate amount,A little,5,FALSE,FALSE,TRUE,FALSE,0,6,A little,11,74,2,11,somewhat disagree,sick people,probably,18,18-19,f,some college,suburb,3,TRUE,no,no,yes
171,1,A lot, A moderate amount,10,TRUE,TRUE,TRUE,TRUE,10,9, A moderate amount,93,81,5,92,strongly disagree,sick people,definitely,22,20-24,f, 4 year degree,suburb,3,TRUE,unsure,yes,yes
173,1, A moderate amount, A moderate amount,7,FALSE,FALSE,TRUE,FALSE,10,5, A moderate amount,1,95,2,19,somewhat disagree,sick people,probably,39,35-39,f,doctorate,suburb,4,FALSE,no,no,no
174,1, A moderate amount, A moderate amount,6,FALSE,FALSE,TRUE,FALSE,5,9,A little,55,55,3,61,somewhat disagree,sick people,definitely,36,35-39,m,doctorate,large city,3,TRUE,unsure,no,yes
